Bertus Aafjes (1914–1993, Netherlands, p)
Amanda Craig (born 1959, S Africa/England, f/nf)
Barbara Craig (1915–2005, India/England, nf)
Joe Craig (born 1981, England, ch)
Dinah Craik (1826–1887, England, f/p), born Dinah Maria Mulock
Helen Craik (c. 1751–1825, Scotland/England, p/f)
Robert Crais (born 1953, US, f)
Hart Crane (1899–1932, US, p)
Stephen Crane (1871–1900, US, p/f)
Edward Crankshaw (1909–1984, England, nf)
Richard Crashaw (c. 1613–1649, England/Italy, p)
Gheorghe Crăciun (1950–2007, Romania, f)
Sibylla Bailey Crane (1851–1902, US, nf)
José Craveirinha (1922–2003, Mozambique, f/nf/p)
Elizabeth Craven (1750–1828, England, nf), born Lady Elizabeth Berkeley
Rachael Craw (living, N Zealand, f)
Francis Marion Crawford (1854–1909, US/Italy, f/nf/d)
Isabella Valancy Crawford (1846–1887, Ireland/Canada, p)
Max Crawford (1938–2010, US, f)
O. G. S. Crawford (1886–1957, India/England, nf)
Robert Crawford (1868–1930, Australia, p)
Helen Crawfurd (1877–1954, Scotland, nf)
Ion Creangă (1837–1889, Moldavia/Romania, f/nf/ch)
John Creasey (1908–1973, England, f)
Edward Shepherd Creasy (1812–1878, England, nf)
Claude Prosper Jolyot de Crébillon (1707–1777, France, f)
Sharon Creech (born 1945, US, ch)
Thomas Creech (1659–1700, England, nf)
Robert Creeley (1926–2005, US, p)
Thomas Creevey (1768–1838, England, nf)
Jane Tapsubei Creider (born 1940s, Kenya/Canada, f/nf)
Mandell Creighton (1843–1901, England, nf)
Octave Crémazie (1827–1879, Canada/France, p)
Dave Crenshaw (born 1975, US, nf)
Jean-Paul Crespelle (1910–1994, France, nf)
Caroline de Crespigny (1797–1861, England, p)
Luis Cordero Crespo (1833–1912, Ecuador, p)
Douglas Cresswell (1894–1960, N Zealand, nf)
Helen Cresswell (1934–2005, England, ch)
Jasmine Cresswell (born 1941, Wales/US, f)
K. A. C. Creswell (1879–1974, England, nf)
Helen Cresswell (1934–2005, England, d/ch)
Nicholas Cresswell (1750–1804, England, nf)
Walter D'Arcy Cresswell (1896–1960, N Zealand, p/nf)
Julia Pleasants Creswell (1827–1886, US, p/f)
René Crevel (1900–1935, France, f)
Isaac Crewdson (1780–1844, England, nf)
Michael Crichton (1942–2008, US, f)
Bernard Crick (1929–2008, England, nf)
Michael Crick (born 1958, England, nf)
Martin Crimp (born 1956, England, d)
Arthur Shearly Cripps (1869–1952, England/S Rhodesia, nf/f/p)
Louise Crisp (born 1957, Australia, p)
Quentin Crisp (1908–1999, England, nf)
Samuel Crisp (1707–1783, England, d)
Alice Guerin Crist (1876–1941, Ireland/Australia, p/f)
Ann Batten Cristall (1769–1848, England, p)
Millie Criswell (born 1948, US, f)
Branislav Crnčević (1933–2011, Yugoslavia/Serbia, f/p/ch)
Miloš Crnjanski (1893–1977, Austria-Hungary/Serbia, p/f/nf)
Herbert Croft (1603–1691, England, nf)
Herbert Croft (1751–1816, England, f/nf)
Julian Croft (born 1941, Australia, p/nf)
Rupert Croft-Cooke (1903–1979, England, f/nf)
Andrew Crofts (born 1953, England, nf)
Alison Croggon (born 1962), S Africa/Australia, p/d/f)
Bithia Mary Croker (1848 or 1849–1920, Ireland, f)
Marianne Croker (1791–1854, England, nf)
Thomas Crofton Croker (1798–1854, Ireland, nf)
Thomas Francis Dillon Croker (1831–2012, England, p/nf)
Richmal Crompton (1890–1969, England, ch)
Rosemary Crompton (1942–2011, England, nf)
A. J. Cronin (1896–1981, Scotland/Switzerland, f)
Jeremy Cronin (born 1949, S Africa, p/nf)Patrick Cullinan
Michael Cronin (born 1942, England, ch/d)
M. T. C. Cronin (born 1963, Australia, p)
Vincent Cronin (1924–2011, England, nf)
Compton N. Crook (1908–1981, US, f), pseudonym, Stephen Tall
Judy Croome (born 1958, S Africa, f/p)
Wolf-Ulrich Cropp (born 1941, Germany, nf/f)
Charles Cros (1842–1888, France, p/nf)
Camilla Dufour Crosland (1812–1895, England, f/p/nf)
A. F. Cross (1863–1940, England, p/d/nf)
Elsa Cross (born 1946, Mexico, p/nf)
Gillian Cross (born 1945, England, ch)
Zora Cross (1890–1964, Australia, p/f)
Sarah Crossan (living, Ireland, ch)
Kevin Crossley-Holland (born 1941, England, ch/p)
Blake Crouch (born 1978, US, f)
Jean-Pierre de Crousaz (1663–1750, Switzerland, nf)
Catherine Crowe (1803–1876, England, f/d/ch)
William Crowe, 1745–1879, England, p/nf)
Aleister Crowley (1875–1947, England, p/f)
Robert Crowley (c. 1517–1588, England/Germany, p/nf)
John Crowne (1641–1712, England, d)
Samuel Ajayi Crowther (c. 1809–1891, Sierra Leone/Nigeria, nf)
Andrew Crozier (1943–2008, England, p)
Alexander Cruden (1699–1770, Scotland, nf)
Helen Cruickshank (1886–1975, Scotland, p)
Andrew Crumey (born 1961, Scotland, f/nf)
Barry Crump (1935–1996, N Zealand, f)
Paul J. Crutzen (1933–2021, Netherlands, nf)
Arturo Cruz Jr. (born 1953, Nicaragua, nf)
Juana Inés de la Cruz (1648–1695, Mexico, nf/p)
Tomaz Vieira da Cruz (born 1960, Portugal, p)
Viriato da Cruz (1928–1973, Angola/China, p)
György Csanády (1895–1952, Hungary, p/nf)
Géza Csáth (1887–1919, Hungary, f/nf/d), pseudonym of József Brenner
Gergely Csiky (1842–1891, Hungary, d)
Gabriella Csire (born 1938, Romania, ch)
Mihály Csokonai (1783–1805, Austria-Hungary, p/d), full name Mihály Csokonai Vitéz
Sándor Csoóri (1930–2016, Hungary, nf/p)
Cu–Cz
José de la Cuadra (1903–1941, Ecuador, f)
Pablo Antonio Cuadra (1912–2002, Nicaragua, nf/p)
J. A. Cuddon (1928–1996, England, nf)
Annie Hall Cudlip (1838–1918, England, f)
Pender Hodge Cudlip (1835–1911, England, nf)
Alonso Cueto (born 1954, Peru, f/nf)
Tone Čufar (1905–1942, Austrian E/Yugoslavia, f/p/d), Holocaust victim
Ottobah Cugoano (c. 1757 – post-1791, Gold Coast/England, nf)
Cui Hao (崔顥, c. 704 – c. 754, China, p)
Anne Virginia Culbertson (1857–1918, US, f/nf/p)
Belle Caldwell Culbertson (1857–1934, US, nf)
Ioan Petru Culianu (1950–1991, Romania/US, nf/f)
Gordana Ćulibrk (born 1952, Yugoslavia/Serbia, f/p)
Nicholas J. Cull (born 1964, US, nf)
Countee Cullen (1903–1946, US, p/f/ch)
Jonathan Culler (born 1944, US/England, nf)
Patrick Cullinan (1932–2011, S Africa, p/nf)
Majella Cullinane (living, N Zealand, p/f)
John Cullum (1733–1785, England, nf)
Ridgwell Cullum (1867–1943, England, f)
Chris Culver (living, US, f)
Nathaniel Culverwell (1619–1651, England, nf)
Necati Cumalı (1921–2001, Turkey, f/nf/p)
Nigel Cumberland (born 1967, England, nf)
Richard Cumberland (1631/1632–1718, England, nf)
Richard Cumberland (1731/1732–1811, England, d/f)
E. E. Cummings (1894–1962, US, p/nf/d)
Nancy Cunard (1896–1965, England, p/nf)
Joseph Cundall (1818–1895, England, ch)
Anne Cuneo (1936–2015, France/Switzerland, f/d)
Euclides da Cunha (1866–1909, Brazil, nf)
Álvaro Cunhal (1913–2005, Portugal, nf)
John Cunliffe (1933–2018, ch)
Allan Cunningham (1784–1842, Scotland, p/f/nf)
Daniel John Cunningham (1850–1909, Scotland, nf)
J. V. Cunningham (1911–1985, US, p/nf)
Timothy Cunningham (died 1789, England, nf)
Maud Cunnington (1869–1951, Wales/England, nf/ch)
Will Cuppy (1884–1949, US, nf)
Suzanne Curchod (1737–1794, Switzerland, nf)
Milan Ćurčin (1880–1960, Austria-Hungary/Yugoslavia, p/nf)
Jean Curlewis (1898–1930, Australia, f/nf)
Allen Curnow (1911–2001, N Zealand, p/nf)
Roland Curram (born 1932, England, f)
Margaret Curran (1887–1962, Australia, p/nf)
R. N. Currey (1907–2001, S Africa/England, p)
Katy Currie (born 1946, US, f), pseudonym of Susan Spaeth Kyle
Jane Louise Curry (born 1932, US, ch/f)
Christopher Paul Curtis (born 1953, US, ch)
Lionel Curtis (1872–1955, England, nf)
William Curtis (1746–1799, England, nf)
Alice Curwen (c. 1619–1679, England, nf)
James Oliver Curwood (1878–1927, US, f/nf)
Dymphna Cusack (1902–1981, Australia, d/f/nf)
Karen Cushman (born 1941, US, f)
Clive Cussler (1931–2020, US, f)
Harry Cust (1861–1917, England, p/nf)
Nannie Webb Curtis (1861–1920, US, nf)
Catherine Cuthbertson (c. 1775–1842, England, f)
James Cuthbertson (1851–1910, Scotland/Australia, p)
Ivor Cutler (1923–2006, Scotland/England, p/nf)
Judith Cutler (born 1946, England, f)
John Cutts (1661–1707, England, nf)
Umihana Čuvidina (c. 1794 – c. 1870, Ottoman E, p)
Agustín Cuzzani (1824–1887, Argentina, d)
Lidija Cvetkovic (born 1967, Yugoslavia/Australia, p)
Józef Czechowicz (1903–1939, Poland, p/d)
Renato Cirell Czerna (1922–2005, Brazil, nf)
Alfons von Czibulka (1888–1969, Austrian E/Germany, f/nf)
Gergely Czuczor (1800–1866, Austrian E/Hungary, p)
Emil Czyrniański (1824–1888, Poland, nf)
Tytus Czyżewski (1880–1945, Poland, nf/p/d)
Mélissa Da Costa (born 1990, France, f)
Hamid Dabashi (born 1951, Iran/US, nf)
David Dabydeen (born 1955, Guyana/England, f/p/nf)
Simon Dach (1605–1659, Germany, p)
Luísa Dacosta (1927–2015, Portugal, f)
Charlotte Dacre (1771 or 1772–1825, England, f)
Aneta Dadeshkeliani (1872–1922, Russian E/USSR, p)
Nino Dadeshkeliani (1890–1931, Russian E/France, nf)
Debbie Dadey (born 1959, US, ch)
Bernard Binlin Dadié (1916–2019, Ivory Coast, f/d/p)
Catrin Dafydd (born c. 1982, Wales, f/d)
Edward Dafydd (died 1690, Wales, p)
Fflur Dafydd (born 1978, Wales, f/p)
Philip Dafydd (c. 1732 – c. 1814, Wales, nf/p)
Vilborg Dagbjartsdóttir (1930–2021, p)
Stig Dagerman (1923–1954, Sweden, f/d/p)
Alfonso Gumucio Dagron (Bolivia, p/nf)
Marianna Debes Dahl (born 1947, Faroe Is, f/nf/ch)
Roald Dahl (1916–1990, Wales/England, ch)
Tessa Dahl (born 1957, England, f/ch)
Tor Edvin Dahl (born 1943, Norway, f/ch/nf)
Gro Dahle (born 1962, Norway, p/ch)
Felix Dahn (1834–1912, Germany, nf/p)
Dai Houying (戴厚英, 1938–1996, China, f)
Dai Sijie (戴思杰, born 1954, China/France, f)
Dai Wangshu (戴望舒, 1905–1950, China, p/nf)
Dai Zhen (戴震, 1724–1727, China, nf)
Janet Dailey (1944–2013, US, f)
Claudia Dain (1956–2021, US, f)
Johan Daisne (1912–1978, Belgium, p/f/d)
Jean Daive (born 1941, France, p/f)
Ivan Đaja (1884–1957, France/Yugoslavia, nf)
William Dakins (died 1607, England, nf)
John Dalberg-Acton, 1st Baron Acton (1832–1902, England, nf)
Andrew Dalby (born 1947, England, nf)
Celia Dale (1912–2011, England, f/nf)
Marguerite Dale (1883–1963, Australia, d)
Penny Dale (born 1954, England, ch)
Ruth Jean Dale (1939–2022, US, f), pseudonym Lee Duran
Thomas Dale (1797–1870, p/nf)
Brian Daley (1947–1996, US, f/d)
Victor Daley (1858–1905, Ireland/Australia, p)
Alice Dalgliesh (1893–1979, Trinidad & Tobago/US, ch)
Olof von Dalin (1708–1763, Sweden, p/nf)
Jose Dalisay, Jr. (born 1954, Philippines, f/p/d)
Robert Charles Dallas (1754–1824, Jamaica/England, nf)
John Dalmas (1926–2017, US, f)
Jurij Dalmatin (c. 1547–1589, Habsburg E, nf)
György Dalos (born 1943, Hungary/Germany, f/nf)
Dalpatram (1820–1898, Mughal Empire/India, p)
Blanche d'Alpuget (born 1944, Australia, f/nf)
Annie Dalton (born 1948, England, ch)
Roque Dalton (1935–1975, El Salvador, p/nf/f)
Kathleen Dalziel (1881–1969, S Africa/Australia, p)
Léon Damas (1912–1978, France, nf/p)
Antonio Damasio (born 1944, Portugal/US, nf)
Hanna Damasio (living, Portugal/US, nf)
Anne Seymour Damer (1748–1828, England, f)
Peter Damian (c. 1007–1072/1073, Italy, nf)
Ratomir Damjanović (born 1945, Yugoslavia/Serbia, f/nf)
Nana Awere Damoah (born 1975, Ghana, nf/f)
Sapardi Djoko Damono (1940–2020, Indonesia, p)
William Dampier (1651–1715, England, nf)
Kazuo Dan (檀一雄, 1912–1976, Japan, f/p)
Oniroku Dan (団鬼六, 1931–2011, Japan, f)
William Danby (1752–1833, England, nf)
Antoine Danchet (1671–1748, France, d/p)
Clemence Dane (1888–1965, England, f/d), pseudonym of Winifred Ashton
Simin Daneshvar (1921–2012, Iran, f/nf)
Tsitsi Dangarembga (born 1959, S Rhodesia/Zimbabwe, f/d)
Achmat Dangor (1948–2020, S Africa, f/p/nf)
Anna Dániel (1908–2003, Austria-Hungary/Hungary, f/ch/nf)
Frank Daniel (1926–1996, Czechoslovakia/US, d)
George Daniel (1789–1864, England, p/d/nf)
Robert Mackenzie Daniel (1813–1847, Scotland/Jersey, f/nf)
Samuel Daniel (1562–1619, England, p/d/nf)
William Barker Daniel (1754–1833, England, nf)
David Scott Daniell (1906–1965, England, f/nf/ch)
David Daniels (1933–2008, US, p)
Jeffrey Daniels (living, US, p)
Sarah Daniels (born 1966, England, d)
Peter Danielson (fl. late 1990s, US, ch), pseudonym of multiple authors
Tage Danielsson (1928–1985, Sweden, nf/p)
Erich von Däniken (born 1935, Switzerland, nf)
Danilo II, Serbian Archbishop (fl. 14th c., Serbia, nf)
Danilo's anonymous pupil (fl. 14th c., Serbia, nf)
Jack Dann (born 1945, US, f/nf/p)
Gabriele D'Annunzio (1863–1938, Italy, p/d/nf)
Milovan Danojlić (1937–2022, Yugoslavia/Serbia, f/p)
J. B. Danquah (1895–1965, Gold Coast/Ghana, nf/d)
Mabel Dove Danquah (1905–1984, Gold Coast/Ghana, nf/f/p)
Meri Nana-Ama Danquah (born 1967, Ghana/US, nf)
Júlio Dantas (1876–1962, Portugal, p/nf/d)
Dante Alighieri (c. 1265–1321, Italy, p/nf)
Edwidge Danticat (born 1969, Haiti/US, f)
Charles Dantzig (born 1961, France, nf/p)
Rudi van Dantzig (1933–2012, Netherlands, nf)
Alicia D'Anvers (1668–1725, England, p)
Paula Danziger (1944–2004, US, ch)
Bernadette Sanou Dao (born 1952, French Sudan/Burkina Faso, p/f/ch)
Ahmad Daoud (born 1942, Syria, nf)
Kamel Daoud (born 1970, Algeria, nf/f)
Mohammed Daoud (1901–1984, Morocco, nf)
Zakya Daoud (born 1937, France, nf)
John Nelson Darby (1800–1882, England, nf)
Emma Darcy (married couple, 1936–1995 and 1940–2020, Australia, f)
Hugh Antoine d'Arcy (1843–1925, France/US, p/d)
Olivier Dard (born 1963, France, f/nf)
Abi Daré (living, Nigeria/England, f)
Bill Dare (living, England, d)
Brahim Dargouthi (born 1955, Tunisia, f)
Rubén Darío (1867–1916, Nicaragua, p/nf)
Eleanor Dark (1901–1985, Australia, f)
Jason Dark (born 1945, Germany, f), pseudonym of Helmut Rellergerd
Amma Darko (born 1956, Gold Coast/Ghana, f)
Lawrence Darmani (living, Ghana, f/p)
Iris Rainer Dart (born 1944, US, f/d)
F. J. Harvey Darton (1878–1936, England, nf)
Keki N. Daruwalla (born 1937, India, p/f)
József Darvas (1912–1973, Hungary, nf)
Ali Ashraf Darvishian (1941–2017, Iran, f/nf)
Bernard Darwin (1876–1961, England, nf)
Charles Darwin (1809–1882, England, nf)
Charles Galton Darwin (1887–1962, England, nf)
Emma Darwin (born 1964, England, f)
Erasmus Darwin (1731–1802, England, nf/p)
Florence Henrietta Darwin (1864–1920, England, d)
Mahmoud Darwish (1941–2008, Palestine/US, p)
Elizabeth Daryush (1887–1977, England, p)
Guru Amar Das (1479–1574, Delhi Sultanate/Mughal E, nf)
Guru Ram Das (1534–1581, Mughal E, p)
Gyandil Das (1821–1883, Nepal, p)
Jibanananda Das (1899–1954, India, p/nf/f)
Manoj Das (1934–2021, India, nf)
George Webbe Dasent (1817–1896, England, nf)
Rana Dasgupta (born 1971, England, f/nf)
James Dashner (born 1972, US, ch)
Petter Dass (c. 1647–1707, Norway, p)
Sigfús Daðason (1928–1996, Iceland, p/nf)
Alphonse Daudet (1840–1897, France, f)
Philippe Daudy (1925–1994, France/England, f/nf)
Mikalojus Daukša (1527–1613, Grand Duchy of Lithuania, nf)
René Daumal (1908–1944, France, f/nf/p)
Jean Daurat (1508–1588, France, p/nf)
Max Dauthendey (1867–1918, Germany/Dutch East Indies, nf)
William Davenant (1606–1668, England, p/d)
Guy Davenport (1927–2005, US, nf)
Robert Davenport (fl. 1623–1639, England, d)
Selina Davenport (1777–1859, England, f)
Oskar Davičo (1909–1989, Austrian E/Yugoslavia, f/p)
Filip David (born 1940, Yugoslavia/Serbia, f/nf/d)
David Davidar (born 1958, India, f/nf)
Henriette Davidis (1801–1876, Germany, nf)
Doru Davidovici (1945–1989, Romania, f/nf)
Caroline Rhys Davids (1857–1942, England, nf)
Alan Davidson (born 1943, England, ch)
Alan Davidson (1924–2003, N Ireland/England, nf)
Avram Davidson (1923–1993, US, f)
Donald Davidson (1893–1968, US, p/nf)
Hilda Ellis Davidson (1914–2006, England, nf)
John Davidson (1857–1909, Scotland/England, p/d/f)
Lionel Davidson (1922–2009, England, f)
Lucretia Maria Davidson (1808–1825, US, p)
MaryJanice Davidson (born 1969, US, f/nf/ch)
Donald Davie (1922–1995, England, p/nf)
Alan Davies (born 1951, US, p/nf)
Aneirin Talfan Davies (1909–1980, Wales, p/nf)
Caitlin Davies (born 1964, England, f/nf)
Catherine Glyn Davies (1926–2007, Wales/England, nf)
Deborah Kay Davies (living, Wales, p/f/nf)
Edward Tegla Davies (1880–1967, Wales, nf/ch/f)
Emily Davies (1830–1921, England, nf)
Gareth Alban Davies (1926–2009, Wales/England, p/nf)
Grahame Davies (born 1967, Wales, p/nf)
Hugh Sykes Davies (1909–1984, England, p/f)
Hunter Davies (born 1936, Scotland/England, nf/f)
James Kitchener Davies (1902–1952, Wales, p/d)
John Davies (c. 1565–1618, England, p)
John Davies (c. 1567–1644, Wales, nf)
John Davies (1569–1626, England, p/nf)
John Cadvan Davies (1846–1923, Wales, p/nf)
John Humphreys Davies (1871–1926, Wales, nf)
Lewis Davies (1863–1951, Wales/England, nf)
Linda Davies (living, USSR/England, f)
Margaret Davies (c. 1700–1778 or 1785, Wales, p)
Mary Davies (1846–1882, Wales, p)
Michael Davies (1936–2004, England, nf)
Paul B. Davies (living, England, d)
Pennar Davies (1911–1996, Wales, p/f/nf)
Peter Ho Davies (born 1966, England/US, f)
Rhys Davies (1901–1978, Wales/England, f)
Richard Davies (c. 1505–1581, Wales, nf)
Richard Davies (1833–1937, Wales, p), pseudonym Mynyddog
Robertson Davies (1913–1995, Canada, f/d/nf)
Stephen Davies (born 1976, England, ch)
T. Glynne Davies (1926–1988, Wales, p/f/nf)
W. H. Davies (1871–1940, Wales/England, p)
William Davies (born 1976, England, nf)
Amparo Dávila (1928–2020, Mexico, f/p)
Alexandru Davila (1862–1929, Romania, d/nf)
Virgilio Dávila (1869–1943, Puerto Rico, p)
Dan Davin (1913–1990, N Zealand, f/nf)
Adelle Davis (1904–1974, US, nf)
Beatrice Deloitte Davis (1909–1992, Australia, nf)
Carol Anne Davis (born 1961, Scotland, f/ch)
Dorothy Salisbury Davis (1916–2014, US, f)
Jack Davis (1917–2000, Australia, d/p)
John Davis (c. 1550–1605, England, nf)
Jon Davis (born 1952, US, p/d)
Lavinia R. Davis (1909–1961, US, ch/f), pseudonym Wendell Farmer
Lindsey Davis (born 1949, England, f)
Lydia Davis (born 1947, US, f/nf)
Norma Davis (1905–1945, Australia, p)
Rennie Davis (1940–2021, US, nf)
Richard Harding Davis (1864–1916, US, f/nf/d)
Terry Davis (born 1947, US, f)
Thomas Davis (1804–1887, England nf/p)
William Stearns Davis (1877–1930, US, nf/f)
Ann Davison (1914–1992, England, nf)
Edward Davison (1898–1970, Scotland, p/nf)
Peter Davison (1928–2004, US, p/nf)
Sigrún Davíðsdóttir (born 1955, Iceland/England, nf/f)
Vilborg Davíðsdóttir (born 1965, Iceland, f/nf)
Humphry Davy (1778–1829, England, nf)
Denis Davydov (1784–1839, Russian E, p)
Elizabeth Dawbarn (died 1839, England, nf)
Bruce Dawe (1930–2020, Australia, p)
Kwame Dawes (born 1962, Ghana, p/nf)
Richard Dawkins (born 1941, Kenya/England, nf)
Coningsby Dawson (1883–1959, England/Canada, f)
Christopher Dawson (1889–1970, Wales/England, nf)
Geralyn Dawson (living, US, f), also as Emily March
Janet Dawson (born 1949, Australia, nf)
Jennifer Dawson (1929–2000, England, f)
Jill Dawson (born 1962, England, p/f)
William James Dawson (1854–1928, England, nf)
Dorothy Day (1897–1980, US, nf)
Douglas Day (1932–2004, US, f/nf)
James Wentworth Day (1899–1983, England, nf)
Jeffery Day (1896–1918, England, p)
John Day (1574 – c. 1638, England, d)
Martin Day (born 1968, England, d/f)
Sarah Day (born 1958, England/Australia, p)
Thomas Day (1948–1989, England, nf)
Cecil Day-Lewis (1904–1972, Ireland/England, p/f)
Tamasin Day-Lewis (born 1953, England, nf)
Dayaram (1777–1853, India, p)
Gábor Dayka (1769–1796, Hungary, p)
Osamu Dazai (太宰治, 1909–1948, Japan, f)
Massimo d'Azeglio (1798–1866, Italy, f)
Dc–Di
Jean D'Costa (born 1937, Jamaica, ch)
Valarie D'Elia (c. 1960–2024, US, nf)
Shobhaa De (born 1948, India, f/nf)
Suzanne de Nervèze (17th-century, France, f)
William Frederick Deacon (1799–1845, England, f/nf)
James Deahl (born 1945, Canada, p)
Roger Deakin (1943–2006, England, nf)
William Deakin (1913–2005, England, nf)
Kit Dealtry (1872–1954, Australia/England, f), pseudonym of Kathleen Clarice Groom
Dulcie Deamer (1890–1972, N Zealand/Australia, f/d/p)
Louise Dean (living, England, f)
Martin R. Dean (born 1955, Switzerland, f/nf)
Pamela Dean (born 1953, US, f)
Joel Deane (born 1969, Australia, f/nf/p)
John F. Deane (born 1943, Canada, p)
Nick Dear (born 1955, England, d)
Geoffrey Dearmer (1893–1996, England, p)
Mabel Dearmer (1872–1915, England, f/d/ch)
Percy Dearmer (1867–1936, England, p/nf)
Terry Deary (born 1946, England, ch)
Jeffery Deaver (born 1950, US, f)
Thangam Debbonaire (born 1966, England, nf)
Djamila Debèche (1926–2010, Algeria/France, f/nf)
Aleš Debeljak (1961–2016, Yugoslavia/Slovenia, nf/p)
Milan Dedinac (1902–1966, Serbia/Yugoslavia, p)
John Dee (1527–1608 or 1609, England, nf)
Denise Deegan (born 1952, England, f/d)
Selim Al Deen (1949–2008, E Pakistan/Bangladesh, nf/p/f)
Sophie Deen (born 1984, England, ch)
Warwick Deeping (1877–1950, England, f)
Kenneth S. Deffeyes (1931–2017, US, nf)
Daniel Defoe (1660–1731, England, f/nf)
Régine Deforges (1935–2014, France, f/nf)
Madeline DeFrees (1919–2015, US, p/nf)
Franz Josef Degenhardt (1931–2011, Germany, p/f)
Lise Deharme (1898–1980, France, f)
Richard Dehmel (1863–1920, Germany, p/nf/d)
Paul Dehn (1912–1976, England, d)
Jacek Dehnel (born 1980, Poland, p/d/nf)
Michael Dei-Anang (1909–1977, Gold Coast/Ghana, f/d)
Len Deighton (born 1929, England, f/nf)
Draga Dejanović (1840–1871, Austrian E/Serbia, p/nf)
Meindert DeJong (1906–1991, Netherlands/US, ch)
Aagje Deken (1741–1804, Netherlands, p/nf/f)
Thomas Dekker (1572–1641, England, d/nf)
Milan Dekleva (born 1946, Yugoslavia/Slovenia, p/f)
E. M. Delafield (1890–1943, England, f/nf/d)
Edward J. Delaney (born 1957, US, f)
Michael De-la-Noy (1934–2002, England, nf)
Mary Delany (1700–1788, England, nf)
Samuel R. Delany (born 1942, US, f/nf)
Lucie Delarue-Mardrus (1874–1945, France, p/f/nf)
Barbu Ștefănescu Delavrancea (1858–1918, Romania, nf/p/f)
Sven Delblanc (1931–1992, Canada/Sweden, f/nf)
R. F. Delderfield (1912–1972, England, f/d)
Grazia Deledda (1871–1936, Italy, f)
Philippe Delerm (born 1950, France, nf)
Yanette Delétang-Tardif (1902–1976, France, p/f)
Gilles Deleuze (1925–1995, France, nf)
Santiago Martínez Delgado (1906–1954, Colombia, nf)
Sahar Delijani (born 1983, Iran/US, f)
Jacques Delille (1738–1813, France, p)
Don DeLillo (born 1936, US, f/d/nf)
Barbara Delinsky (born 1945, US, f)
Esther Delisle (born 1954, Canada, nf)
Ethel M. Dell (1881–1939, England, f), pseudonym of Ethel May Dell Savage
Thomas Deloney (c. 1543–1600, England, f/p)
Lester del Rey (1915–1993, US, f/nf)
Demetrius I of Georgia (c. 1093–1156, Georgia, p)
Derenik Demirchian (1877–1956, Russian E/USSR, f/p/d)
Democritus (c. 460 – c. 370 BCE, Greece, nf)
Demosthenes (384–322 BCE, Greece, nf)
Robert DeMott (born 1943, US, nf)
Charlotte Louisa Hawkins Dempster (1835–1913, Scotland, f/nf)
Roland T. Dempster (1910–1965, Liberia, f/nf/p)
Elizabeth Denby (1894–1965, England, nf)
Joolz Denby (born 1955, England, p/f)
Zsófia Dénes (1885–1987, Hungary, f/nf)
Marco Denevi (1922–1998, Argentina, f/nf)
John Denham (c. 1614–1669, Ireland/England, p)
Michael Denis (1729–1800, Germany/Austria, p/nf)
Nelson Antonio Denis (born 1955, US, nf))
Troy Denning (born 1958, US, f)
C. J. Dennis (1876–1938, Australia, p/ch)
Felix Dennis (1947–2014, England, p)
George Dennis (1814–1898, England, nf)
John Dennis (1658–1734, England, nf/d)
Nigel Dennis (1912–1989, England, nf/d)
Nicole Dennis-Benn (born 1982, Jamaica/US, f)
Lester Dent (1904–1959, US, f), also as Kenneth Robeson
Tory Dent (1958–2005, US, p/nf)
Laurence Deonna (1937–2023, Switzerland, nf)
René Depestre (born 1926, Haiti/Cuba, p/nf)
David Dephy (born 1968, Georgia/US, p/f/nf)
John Derbyshire (born 1945, England/US, nf)
Tristan Derème (1889–1941, France, p/nf), pseudonym of Philippe Huc
Jovan Deretić (1934–2002, Yugoslavia/Serbia, nf)
Jovan I. Deretić (1939–2021, Yugoslavia/Serbia, nf)
Robert Jones Derfel (1824–1905, Wales/England, p/nf)
Enid Derham (1882–1941, Australia, p)
Regina Derieva (1949–2013, Russia/Sweden, p/nf)
August Derleth (1909–1971, US, f/p/nf)
Thomas Dermody (1775–1802, Ireland/England, p)
Maria Dermoût (1888–1962, Dutch East Indies/Netherlands, f)
Paul Déroulède (1846–1914, France, p/d)
Christopher Derrick (1921–2007, England, nf)
Michael Derrick (1915–1961, England, nf)
Samuel Derrick (1724–1769, Ireland/England, nf/d)
Toi Derricotte (born 1941, US, p/nf)
Jacques Derrida (1930–2004, Algeria/France, nf)
Teki Dervishi (1943–2011, Yugoslavia/Kosovo, p/f/d)
Lavinia Derwent (1909–1989, Scotland, nf/ch), pseudonym of Elizabeth Dodd
Portia Dery (living, Ghana, ch/f/p)
Tibor Déry (1894–1977, Hungary, f/nf, p)
Anita Desai (born 1937, India, f)
Kiran Desai (born 1971, India/US, f)
Maryline Desbiolles (born 1959, France, f)
Marceline Desbordes-Valmore (1786–1859, France, p/f)
Émile Deschamps (1791–1871, France, p)
Eustache Deschamps (1346–1406 or 1407, France, p)
Anne Desclos (1907–1998, France, f/nf), pseudonym Pauline Réage
Purushottam Laxman Deshpande (1919–2000, India, f/d)
Pip Desmond (living, N Zealand, nf)
Vladan Desnica (1905–1967, Austria-Hungary/Yugoslavia, p/f)
Robert Desnos (1900–1945, France, p), Holocaust victim
Philippe Desportes (1546–1606, France, p)
Sarah Dessen (born 1970, US, f)
Georges Dessommes (1855–1929, US, p)
Jean-Pierre Desthuilliers (1939–2013, France, p/nf)
Bruno Destrée (1867–1919, Belgium, p/nf)
